ACCOUNT_NUMBER,MPXN,FUEL_TYPE,METER_SERIAL_NUMBER,METER_TYPE,METER_STATUS,EFFECTIVE_FROM,EFFECTIVE_TO,IS_CURRENT
6000044737,8408625920832,Electricity,MTR86129776,Traditional,Active,2025-08-17,9999-12-31,True
6000009574,1201020104067,Electricity,MTR47469949,Traditional,Active,2025-03-09,9999-12-31,True
6000029349,9451825588561,Electricity,MTR40045135,Traditional,Active,2023-12-30,2025-04-15,False
6000029349,9451825588561,Electricity,MTR40045135,Smart,Active,2025-04-15,9999-12-31,True
6000035292,8611720910936,Electricity,MTR24101269,Smart,Active,2023-04-27,9999-12-31,True
6000043949,5355115297796,Electricity,MTR40565941,Traditional,Active,2025-05-05,9999-12-31,True
6000048621,4449680409147,Electricity,MTR47027859,Traditional,Active,2023-06-19,9999-12-31,True
6000001054,6096290909629,Electricity,MTR56327234,Traditional,Active,2023-10-22,9999-12-31,True
6000006372,1617564358418,Electricity,MTR74631827,Traditional,Active,2024-02-12,2024-10-04,False
6000006372,1617564358418,Electricity,MTR74631827,Smart,Active,2024-10-04,9999-12-31,True
6000040263,7385515229180,Electricity,MTR26313174,Smart,Active,2022-12-26,9999-12-31,True
6000018294,5647589651598,Electricity,MTR16493574,Traditional,Active,2023-03-26,9999-12-31,True
6000014549,4631101198701,Electricity,MTR42148992,Smart,Active,2024-11-24,9999-12-31,True
6000014083,5213363581310,Electricity,MTR18130898,Smart,Active,2025-10-22,9999-12-31,True
6000002352,1303810461624,Electricity,MTR88577927,Smart,Active,2022-08-30,9999-12-31,True
6000002824,2517694836173,Electricity,MTR87026216,Traditional,Active,2022-10-10,9999-12-31,True
6000008459,4833053043146,Electricity,MTR48010313,Smart,Active,2024-01-28,9999-12-31,True
6000042761,2887034661892,Electricity,MTR86198320,Smart,Active,2026-02-20,9999-12-31,True
6000043787,7573202939404,Electricity,MTR39180040,Traditional,Active,2024-06-06,9999-12-31,True
6000017621,5974701084887,Electricity,MTR85567795,Smart,Active,2026-01-23,9999-12-31,True
6000005347,4334554781061,Electricity,MTR80041033,Smart,Active,2026-05-11,9999-12-31,True
6000009726,1999702167522,Electricity,MTR10961413,Smart,Active,2024-06-21,9999-12-31,True
6000000612,4871015992346,Electricity,MTR24318599,Traditional,Active,2024-11-17,9999-12-31,True
6000029705,2603980063554,Electricity,MTR85914932,Traditional,Active,2023-11-17,2025-10-07,False
6000029705,2603980063554,Electricity,MTR85914932,Smart,Active,2025-10-07,9999-12-31,True
6000011276,1432671475530,Electricity,MTR12215904,Smart,Active,2024-03-14,9999-12-31,True
6000044764,5571912902188,Electricity,MTR37775777,Smart,Active,2023-06-09,9999-12-31,True
6000047381,6950117069719,Electricity,MTR14762203,Traditional,Active,2025-04-15,9999-12-31,True
6000004555,2681738326940,Electricity,MTR80718026,Traditional,Active,2024-09-02,2024-11-24,False
6000004555,2681738326940,Electricity,MTR80718026,Smart,Active,2024-11-24,9999-12-31,True
6000014885,4738503214692,Electricity,MTR29703640,Traditional,Active,2022-09-12,9999-12-31,True
6000007710,3624760946838,Electricity,MTR97818764,Traditional,Active,2024-08-07,2026-05-13,False
6000007710,3624760946838,Electricity,MTR97818764,Smart,Active,2026-05-13,9999-12-31,True
6000024500,5436969025033,Electricity,MTR83546566,Smart,Active,2026-03-04,9999-12-31,True
6000008900,2454729835903,Electricity,MTR68787366,Traditional,Active,2025-03-24,2025-07-06,False
6000008900,2454729835903,Electricity,MTR68787366,Smart,Active,2025-07-06,9999-12-31,True
6000043357,3860310473940,Electricity,MTR14873652,Traditional,Active,2025-05-18,2026-02-20,False
6000043357,3860310473940,Electricity,MTR14873652,Smart,Active,2026-02-20,9999-12-31,True
6000000258,9837024872357,Electricity,MTR51654521,Smart,Active,2023-12-02,9999-12-31,True
6000013840,4748673300586,Electricity,MTR37713038,Traditional,Active,2022-12-07,2024-12-15,False
6000013840,4748673300586,Electricity,MTR37713038,Smart,Active,2024-12-15,9999-12-31,True
6000003731,6985238783765,Electricity,MTR42958199,Smart,Active,2025-11-20,9999-12-31,True
6000038951,9766531339737,Electricity,MTR48809782,Traditional,Active,2025-10-10,2026-05-09,False
6000038951,9766531339737,Electricity,MTR48809782,Smart,Active,2026-05-09,9999-12-31,True
6000045412,8073338035544,Electricity,MTR88423797,Traditional,Active,2023-08-07,9999-12-31,True
6000000787,7231304870751,Electricity,MTR27998021,Smart,Active,2025-03-04,9999-12-31,True
6000015901,8126919350532,Electricity,MTR31041076,Traditional,Active,2024-10-20,9999-12-31,True
6000039720,9427990245905,Electricity,MTR76650494,Smart,Active,2025-04-26,9999-12-31,True
6000046971,7206168915684,Electricity,MTR86951740,Traditional,Active,2023-04-05,9999-12-31,True
6000033005,5063129144006,Electricity,MTR71348861,Traditional,Active,2023-04-02,2024-10-08,False
6000033005,5063129144006,Electricity,MTR71348861,Smart,Active,2024-10-08,9999-12-31,True
6000016628,6552948782839,Electricity,MTR37797011,Traditional,Active,2024-08-21,2025-07-01,False
6000016628,6552948782839,Electricity,MTR37797011,Smart,Active,2025-07-01,9999-12-31,True
6000041752,1009844296779,Electricity,MTR28151583,Smart,Active,2026-01-12,9999-12-31,True
6000036702,7724480887801,Electricity,MTR46711452,Traditional,Active,2026-02-27,9999-12-31,True
6000041494,6667598820647,Electricity,MTR58935435,Smart,Active,2022-11-27,9999-12-31,True
6000042723,1994640193535,Electricity,MTR87761624,Smart,Active,2023-05-21,9999-12-31,True
6000006296,7533241496291,Electricity,MTR25488709,Traditional,Active,2023-11-03,9999-12-31,True
6000031023,8814872479047,Electricity,MTR53277926,Smart,Active,2023-03-10,9999-12-31,True
6000020823,2879524438576,Electricity,MTR44110503,Smart,Active,2024-01-17,9999-12-31,True
6000015076,9461535787339,Electricity,MTR56297348,Traditional,Active,2024-09-28,2025-11-25,False
6000015076,9461535787339,Electricity,MTR56297348,Smart,Active,2025-11-25,9999-12-31,True
6000037774,3655285783914,Electricity,MTR77430630,Traditional,Active,2023-01-05,2026-06-19,False
6000037774,3655285783914,Electricity,MTR77430630,Smart,Active,2026-06-19,9999-12-31,True
6000008454,3516315065745,Electricity,MTR64579957,Traditional,Active,2022-10-06,2025-12-12,False
6000008454,3516315065745,Electricity,MTR64579957,Smart,Active,2025-12-12,9999-12-31,True
6000043291,1951617540869,Electricity,MTR93258284,Traditional,Active,2023-01-10,9999-12-31,True
6000016350,2991700182526,Electricity,MTR11432138,Smart,Active,2023-02-07,9999-12-31,True
6000037292,3268006259539,Electricity,MTR30374691,Traditional,Active,2025-03-12,2025-11-25,False
6000037292,3268006259539,Electricity,MTR30374691,Smart,Active,2025-11-25,9999-12-31,True
6000049221,3491036757138,Electricity,MTR32172200,Traditional,Active,2022-12-13,9999-12-31,True
6000017065,6745015318625,Electricity,MTR32498742,Traditional,Active,2023-01-30,9999-12-31,True
6000007075,3818008934672,Electricity,MTR63273245,Smart,Active,2026-02-24,9999-12-31,True
6000047587,5556954566733,Electricity,MTR27220565,Traditional,Active,2022-10-10,9999-12-31,True
6000031882,1626330792123,Electricity,MTR39301887,Traditional,Active,2024-01-23,9999-12-31,True
6000005572,1828167874624,Electricity,MTR63270278,Traditional,Active,2023-02-27,2025-01-26,False
6000005572,1828167874624,Electricity,MTR63270278,Smart,Active,2025-01-26,9999-12-31,True
6000040015,4625169357514,Electricity,MTR86168875,Traditional,Active,2022-09-09,9999-12-31,True
6000002681,7698710960151,Electricity,MTR97553159,Traditional,Active,2024-07-02,9999-12-31,True
6000023320,4097429131205,Electricity,MTR59802304,Smart,Active,2026-04-17,9999-12-31,True
6000039883,7675563697050,Electricity,MTR64006076,Traditional,Active,2023-12-26,2025-01-28,False
6000039883,7675563697050,Electricity,MTR64006076,Smart,Active,2025-01-28,9999-12-31,True
6000027537,3744846957734,Electricity,MTR49484665,Smart,Active,2023-11-14,9999-12-31,True
6000002884,4353134242272,Electricity,MTR77856485,Smart,Active,2025-11-08,9999-12-31,True
6000024858,6784842598757,Electricity,MTR80162201,Smart,Active,2026-07-28,9999-12-31,True
6000007276,1148006725974,Electricity,MTR64000971,Smart,Active,2023-09-12,9999-12-31,True
6000025630,6157273586014,Electricity,MTR26105562,Traditional,Active,2024-07-06,9999-12-31,True
6000022943,3811452884367,Electricity,MTR65495349,Traditional,Active,2024-10-21,2026-01-21,False
6000022943,3811452884367,Electricity,MTR65495349,Smart,Active,2026-01-21,9999-12-31,True
6000031746,1734726821147,Electricity,MTR93416219,Traditional,Active,2024-09-19,9999-12-31,True
6000043155,3257382807691,Electricity,MTR45202577,Smart,Active,2024-09-01,9999-12-31,True
6000034716,4118299247482,Electricity,MTR44149068,Traditional,Active,2022-09-28,9999-12-31,True
6000013684,5645839303103,Electricity,MTR76103920,Traditional,Active,2023-04-03,2026-02-23,False
6000013684,5645839303103,Electricity,MTR76103920,Smart,Active,2026-02-23,9999-12-31,True
6000030079,8128338691213,Electricity,MTR37086157,Smart,Active,2023-05-28,9999-12-31,True
6000030353,7722553517910,Electricity,MTR31353081,Traditional,Active,2023-11-29,2025-09-18,False
6000030353,7722553517910,Electricity,MTR31353081,Smart,Active,2025-09-18,9999-12-31,True
6000042658,6616889181818,Electricity,MTR87740103,Traditional,Active,2022-12-04,9999-12-31,True
6000022749,7088752022340,Electricity,MTR14120305,Smart,Active,2024-04-01,9999-12-31,True
6000025543,6125302189877,Electricity,MTR70586739,Traditional,Active,2024-06-02,9999-12-31,True
6000034799,5030629260108,Electricity,MTR57304918,Traditional,Active,2025-04-25,9999-12-31,True
6000046324,7041188123100,Electricity,MTR28102370,Smart,Active,2026-02-12,9999-12-31,True
6000019724,2906917559394,Electricity,MTR69445668,Traditional,Active,2026-04-07,9999-12-31,True
6000017668,3253291667368,Electricity,MTR26706296,Smart,Active,2026-02-18,9999-12-31,True
6000013127,7991412090588,Electricity,MTR81738846,Traditional,Active,2023-05-13,9999-12-31,True
6000025301,8557553193261,Electricity,MTR83440391,Traditional,Active,2022-11-26,2024-12-22,False
6000025301,8557553193261,Electricity,MTR83440391,Smart,Active,2024-12-22,9999-12-31,True
6000036942,4526172499450,Electricity,MTR52696752,Traditional,Active,2025-08-10,2026-04-20,False
6000036942,4526172499450,Electricity,MTR52696752,Smart,Active,2026-04-20,9999-12-31,True
6000008789,7981760984977,Electricity,MTR46956136,Smart,Active,2023-05-04,9999-12-31,True
6000003556,1277631713627,Electricity,MTR20278602,Traditional,Active,2026-02-21,9999-12-31,True
6000042182,5307104600397,Electricity,MTR11562792,Smart,Active,2024-11-28,9999-12-31,True
6000009435,9615237163874,Electricity,MTR52136016,Traditional,Active,2024-09-30,9999-12-31,True
6000004666,1843247044850,Electricity,MTR34219752,Smart,Active,2024-03-27,9999-12-31,True
6000042198,4443785058531,Electricity,MTR60217020,Traditional,Active,2024-08-17,2026-03-12,False
6000042198,4443785058531,Electricity,MTR60217020,Smart,Active,2026-03-12,9999-12-31,True
6000006735,4698425226506,Electricity,MTR33016858,Smart,Active,2025-06-27,9999-12-31,True
6000046671,3138737919793,Electricity,MTR60820047,Traditional,Active,2023-09-28,9999-12-31,True
6000031480,7996485910015,Electricity,MTR75920969,Smart,Active,2023-12-01,9999-12-31,True
6000015068,3045276567070,Electricity,MTR55544567,Traditional,Active,2024-05-04,9999-12-31,True
6000039704,9823109051286,Electricity,MTR30819443,Traditional,Active,2024-04-08,9999-12-31,True
6000011430,2212777567421,Electricity,MTR26583761,Smart,Active,2023-01-28,9999-12-31,True
6000035250,6435482301858,Electricity,MTR37249970,Traditional,Active,2025-11-26,9999-12-31,True
6000007799,5715366367816,Electricity,MTR85890185,Traditional,Active,2024-07-02,2025-09-21,False
6000007799,5715366367816,Electricity,MTR85890185,Smart,Active,2025-09-21,9999-12-31,True
6000012102,7908610595670,Electricity,MTR86156258,Traditional,Active,2025-09-06,9999-12-31,True
6000026909,6585503521669,Electricity,MTR98622206,Traditional,Active,2024-09-11,2026-03-28,False
6000026909,6585503521669,Electricity,MTR98622206,Smart,Active,2026-03-28,9999-12-31,True
6000031446,2138199066620,Electricity,MTR79608942,Traditional,Active,2023-05-11,9999-12-31,True
6000037991,9682432582529,Electricity,MTR85989541,Traditional,Active,2025-03-12,2026-03-14,False
6000037991,9682432582529,Electricity,MTR85989541,Smart,Active,2026-03-14,9999-12-31,True
6000008946,7637623443032,Electricity,MTR35946597,Traditional,Active,2024-09-26,2025-06-05,False
6000008946,7637623443032,Electricity,MTR35946597,Smart,Active,2025-06-05,9999-12-31,True
6000018056,3580196800616,Electricity,MTR99724198,Smart,Active,2026-05-06,9999-12-31,True
6000025836,9420385661940,Electricity,MTR27552915,Traditional,Active,2025-02-23,9999-12-31,True
6000015856,1932846645051,Electricity,MTR23896327,Smart,Active,2025-05-20,9999-12-31,True
6000030311,4368153808457,Electricity,MTR34511008,Traditional,Active,2023-05-03,2026-04-17,False
6000030311,4368153808457,Electricity,MTR34511008,Smart,Active,2026-04-17,9999-12-31,True
6000036366,3058381931025,Electricity,MTR51600062,Smart,Active,2023-09-07,9999-12-31,True
6000038478,4103967532045,Electricity,MTR78551829,Smart,Active,2023-07-15,9999-12-31,True
6000030199,4009793119013,Electricity,MTR65480043,Traditional,Active,2024-12-24,9999-12-31,True
6000037621,8111569967214,Electricity,MTR71019359,Traditional,Active,2023-02-14,2025-01-28,False
6000037621,8111569967214,Electricity,MTR71019359,Smart,Active,2025-01-28,9999-12-31,True
6000033434,4879718178568,Electricity,MTR92270589,Traditional,Active,2024-07-01,9999-12-31,True
6000038801,7513981294968,Electricity,MTR16543196,Traditional,Active,2023-12-14,9999-12-31,True
6000017739,6749980001591,Electricity,MTR41444721,Traditional,Active,2023-08-06,2025-12-01,False
6000017739,6749980001591,Electricity,MTR41444721,Smart,Active,2025-12-01,9999-12-31,True
6000006544,8106057742454,Electricity,MTR44374038,Smart,Active,2025-12-25,9999-12-31,True
6000024231,1125290007947,Electricity,MTR10591538,Traditional,Active,2025-03-12,2026-01-04,False
6000024231,1125290007947,Electricity,MTR10591538,Smart,Active,2026-01-04,9999-12-31,True
6000010699,5715666750091,Electricity,MTR20506130,Traditional,Active,2025-10-19,2026-06-14,False
6000010699,5715666750091,Electricity,MTR20506130,Smart,Active,2026-06-14,9999-12-31,True
6000027550,9160006065980,Electricity,MTR71929832,Smart,Active,2023-06-30,9999-12-31,True
6000021793,6907762798395,Electricity,MTR63542455,Smart,Active,2023-09-28,9999-12-31,True
6000034760,5194092255328,Electricity,MTR52112783,Smart,Active,2025-12-31,9999-12-31,True
6000037493,5498808586681,Electricity,MTR48189212,Smart,Active,2026-06-16,9999-12-31,True
6000031245,7611048173209,Electricity,MTR81415227,Smart,Active,2026-04-19,9999-12-31,True
6000036478,5590593750716,Electricity,MTR56505071,Smart,Active,2026-08-04,9999-12-31,True
6000027623,8360209055430,Electricity,MTR18767299,Traditional,Active,2024-02-13,9999-12-31,True
6000035542,6050524948269,Electricity,MTR17689623,Smart,Active,2025-04-13,9999-12-31,True
6000006276,1057068648888,Electricity,MTR11030893,Traditional,Active,2026-04-27,9999-12-31,True
6000034674,5741217080965,Electricity,MTR77405978,Traditional,Active,2023-06-20,9999-12-31,True
6000035350,3024689515747,Electricity,MTR67868470,Smart,Active,2025-05-19,9999-12-31,True
6000021563,9354842107539,Electricity,MTR33282089,Traditional,Active,2023-10-17,2025-09-02,False
6000021563,9354842107539,Electricity,MTR33282089,Smart,Active,2025-09-02,9999-12-31,True
6000044564,6689880892575,Electricity,MTR50328165,Traditional,Active,2024-10-14,2024-11-03,False
6000044564,6689880892575,Electricity,MTR50328165,Smart,Active,2024-11-03,9999-12-31,True
6000043475,9317235024372,Electricity,MTR34173050,Traditional,Active,2025-04-27,9999-12-31,True
6000008522,3511170857322,Electricity,MTR24271704,Traditional,Active,2024-09-04,9999-12-31,True
6000015571,6827785468486,Electricity,MTR83502515,Traditional,Active,2026-04-04,9999-12-31,True
6000031352,1376668139304,Electricity,MTR11301822,Traditional,Active,2024-05-13,9999-12-31,True
6000011278,1488166377587,Electricity,MTR35777570,Smart,Active,2023-07-27,9999-12-31,True
6000022155,2216576038003,Electricity,MTR59622279,Smart,Active,2026-07-29,9999-12-31,True
6000005032,6774306090475,Electricity,MTR85185204,Smart,Active,2025-06-24,9999-12-31,True
6000027612,3738202809446,Electricity,MTR21933811,Traditional,Active,2025-09-16,2026-06-01,False
6000027612,3738202809446,Electricity,MTR21933811,Smart,Active,2026-06-01,9999-12-31,True
6000042712,4131856370308,Electricity,MTR24310856,Smart,Active,2025-03-09,9999-12-31,True
6000033826,5315279186951,Electricity,MTR95158708,Smart,Active,2024-03-28,9999-12-31,True
6000010677,2962826943248,Electricity,MTR86906499,Smart,Active,2022-10-07,9999-12-31,True
6000033260,9487707949774,Electricity,MTR71512750,Smart,Active,2023-07-16,9999-12-31,True
6000044347,1325854449366,Electricity,MTR80475955,Traditional,Active,2022-12-18,9999-12-31,True
6000044223,1194109014066,Electricity,MTR66778772,Traditional,Active,2026-02-06,9999-12-31,True
6000043406,1625094076304,Electricity,MTR75817871,Smart,Active,2023-03-05,9999-12-31,True
6000021869,5265656407818,Electricity,MTR12299404,Traditional,Active,2022-12-03,2026-04-21,False
6000021869,5265656407818,Electricity,MTR12299404,Smart,Active,2026-04-21,9999-12-31,True
6000005381,6806564646754,Electricity,MTR42315562,Traditional,Active,2025-03-28,9999-12-31,True
6000021761,1750608272732,Electricity,MTR55569828,Traditional,Active,2024-01-31,2026-04-01,False
6000021761,1750608272732,Electricity,MTR55569828,Smart,Active,2026-04-01,9999-12-31,True
6000029579,5303528423763,Electricity,MTR86131018,Smart,Active,2024-04-18,9999-12-31,True
6000044507,1570209526870,Electricity,MTR75374053,Traditional,Active,2025-02-03,9999-12-31,True
6000017177,8512027621204,Electricity,MTR89564931,Traditional,Active,2025-07-23,2025-08-29,False
6000017177,8512027621204,Electricity,MTR89564931,Smart,Active,2025-08-29,9999-12-31,True
6000039834,1641786211290,Electricity,MTR47821257,Smart,Active,2026-03-29,9999-12-31,True
6000005420,9430784054332,Electricity,MTR40106051,Traditional,Active,2024-09-15,9999-12-31,True
6000000771,9337808656544,Electricity,MTR74387822,Traditional,Active,2023-02-21,9999-12-31,True
6000045225,4552121322300,Electricity,MTR15649674,Smart,Active,2022-09-02,9999-12-31,True
6000048237,2329512935354,Electricity,MTR64702672,Traditional,Active,2024-10-15,2024-11-15,False
6000048237,2329512935354,Electricity,MTR64702672,Smart,Active,2024-11-15,9999-12-31,True
6000044924,5646475807296,Electricity,MTR70257345,Traditional,Active,2022-12-20,9999-12-31,True
6000034498,4620197699654,Electricity,MTR65330430,Traditional,Active,2024-09-06,9999-12-31,True
6000026039,8228066842211,Electricity,MTR31156096,Smart,Active,2024-04-27,2024-12-24,False
6000026039,8228066842211,Electricity,MTR31156096,Smart,Faulty,2024-12-24,2025-02-17,False
6000026039,8228066842211,Electricity,MTR31156096,Smart,Active (Replaced),2025-02-17,9999-12-31,True
6000009533,1655736691208,Electricity,MTR10311288,Smart,Active,2025-12-08,9999-12-31,True
6000025778,3618838329111,Electricity,MTR37155660,Traditional,Active,2025-07-14,9999-12-31,True
6000018653,9789493735381,Electricity,MTR93664716,Smart,Active,2023-05-05,9999-12-31,True
6000047186,7515323899895,Electricity,MTR14270268,Smart,Active,2025-08-06,9999-12-31,True
6000044001,7697834560222,Electricity,MTR22861390,Traditional,Active,2024-04-05,2025-02-17,False
6000044001,7697834560222,Electricity,MTR22861390,Smart,Active,2025-02-17,9999-12-31,True
6000009880,6978784662809,Electricity,MTR55999482,Traditional,Active,2023-08-28,9999-12-31,True
6000048153,9468776086364,Electricity,MTR78566783,Smart,Active,2026-07-13,9999-12-31,True
6000020731,7104852951221,Electricity,MTR44116519,Traditional,Active,2024-05-08,2025-05-24,False
6000020731,7104852951221,Electricity,MTR44116519,Smart,Active,2025-05-24,9999-12-31,True
6000047086,4209885418389,Electricity,MTR69518875,Traditional,Active,2022-12-12,9999-12-31,True
6000036384,3284029004077,Electricity,MTR53629512,Traditional,Active,2025-01-28,9999-12-31,True
6000030310,2952692420652,Electricity,MTR62147571,Traditional,Active,2023-08-28,2025-09-24,False
6000030310,2952692420652,Electricity,MTR62147571,Smart,Active,2025-09-24,9999-12-31,True
6000042386,9294539509751,Electricity,MTR66450829,Traditional,Active,2024-05-17,2025-12-26,False
6000042386,9294539509751,Electricity,MTR66450829,Smart,Active,2025-12-26,9999-12-31,True
6000018597,2147756958157,Electricity,MTR97510468,Traditional,Active,2022-08-10,2024-09-18,False
6000018597,2147756958157,Electricity,MTR97510468,Smart,Active,2024-09-18,9999-12-31,True
6000017735,9211926186683,Electricity,MTR50669425,Smart,Active,2024-07-25,9999-12-31,True
6000025222,7377967994894,Electricity,MTR50273026,Traditional,Active,2026-05-10,9999-12-31,True
6000012236,9360423767348,Electricity,MTR53128052,Traditional,Active,2022-11-27,2026-04-16,False
6000012236,9360423767348,Electricity,MTR53128052,Smart,Active,2026-04-16,9999-12-31,True
6000039304,5401434026438,Electricity,MTR54883565,Traditional,Active,2025-06-12,2026-03-16,False
6000039304,5401434026438,Electricity,MTR54883565,Smart,Active,2026-03-16,9999-12-31,True
6000030519,1596427795978,Electricity,MTR75266455,Traditional,Active,2025-09-12,9999-12-31,True
6000045455,1010323496861,Electricity,MTR18521555,Traditional,Active,2022-12-06,2025-12-16,False
6000045455,1010323496861,Electricity,MTR18521555,Smart,Active,2025-12-16,9999-12-31,True
6000046882,6169693910649,Electricity,MTR14667836,Smart,Active,2025-07-11,9999-12-31,True
6000015609,8172208397227,Electricity,MTR37229255,Smart,Active,2025-03-12,9999-12-31,True
6000001963,9944182935788,Electricity,MTR86552612,Traditional,Active,2025-02-24,9999-12-31,True
6000034324,8308651438734,Electricity,MTR99020660,Smart,Active,2024-11-18,9999-12-31,True
6000030937,1123659272835,Electricity,MTR79567453,Traditional,Active,2024-05-04,2025-01-31,False
6000030937,1123659272835,Electricity,MTR79567453,Smart,Active,2025-01-31,9999-12-31,True
6000008942,9284134025251,Electricity,MTR21867656,Traditional,Active,2023-09-16,2025-08-15,False
6000008942,9284134025251,Electricity,MTR21867656,Smart,Active,2025-08-15,9999-12-31,True
6000036396,1587826910371,Electricity,MTR24829945,Traditional,Active,2024-03-28,9999-12-31,True
6000016659,6845754464975,Electricity,MTR64290314,Traditional,Active,2024-08-13,9999-12-31,True
6000028689,9844938686365,Electricity,MTR17963340,Traditional,Active,2022-11-19,2025-04-22,False
6000028689,9844938686365,Electricity,MTR17963340,Smart,Active,2025-04-22,9999-12-31,True
6000026600,6968727967673,Electricity,MTR88697432,Traditional,Active,2025-02-14,9999-12-31,True
6000039926,1351685194380,Electricity,MTR71169071,Traditional,Active,2025-11-12,9999-12-31,True
6000008294,8419258295491,Electricity,MTR70688305,Traditional,Active,2023-04-26,9999-12-31,True
6000041993,2617699819535,Electricity,MTR84819744,Traditional,Active,2025-07-14,9999-12-31,True
6000022659,3398074654598,Electricity,MTR10815692,Traditional,Active,2025-01-25,9999-12-31,True
6000000988,1612149301985,Electricity,MTR99448546,Traditional,Active,2023-05-29,2024-12-16,False
6000000988,1612149301985,Electricity,MTR99448546,Smart,Active,2024-12-16,9999-12-31,True
6000037097,4539721441261,Electricity,MTR52754851,Traditional,Active,2024-03-09,2024-08-26,False
6000037097,4539721441261,Electricity,MTR52754851,Smart,Active,2024-08-26,9999-12-31,True
6000007585,7370501655434,Electricity,MTR79303849,Traditional,Active,2026-07-23,9999-12-31,True
6000003536,8635396417643,Electricity,MTR80985665,Traditional,Active,2023-01-07,9999-12-31,True
6000018608,7689645714167,Electricity,MTR94797164,Traditional,Active,2024-03-30,2024-09-18,False
6000018608,7689645714167,Electricity,MTR94797164,Smart,Active,2024-09-18,9999-12-31,True
6000045259,6932373248227,Electricity,MTR40561292,Traditional,Active,2023-09-12,2025-03-22,False
6000045259,6932373248227,Electricity,MTR40561292,Smart,Active,2025-03-22,9999-12-31,True
6000024941,3938331259392,Electricity,MTR55776059,Smart,Active,2025-04-28,9999-12-31,True
6000001047,3142542984974,Electricity,MTR14134334,Smart,Active,2026-04-12,9999-12-31,True
6000010851,2115424457997,Electricity,MTR71728438,Traditional,Active,2023-11-16,2025-09-24,False
6000010851,2115424457997,Electricity,MTR71728438,Smart,Active,2025-09-24,9999-12-31,True
