CALL_ID,ACCOUNT_NUMBER,CALL_DATE,CALL_DIRECTION,CALL_REASON,RELATED_COMPLAINT_ID,OUTCOME,AGENT_TEAM,CALL_DURATION_MINS
29,6000017968,2024-07-31,Inbound,Service - General,7694.0,Escalated to Complaint,Customer Service,23
30,6000002843,2024-07-31,Inbound,Service - General,30442.0,Escalated to Complaint,Customer Service,12
31,6000024854,2024-07-31,Inbound,Service - General,38666.0,Escalated to Complaint,Customer Service,11
32,6000022953,2024-07-31,Inbound,Service - General,26472.0,Escalated to Complaint,Customer Service,7
33,6000014969,2024-07-31,Inbound,Payment / Direct Debit,19933.0,Escalated to Complaint,Collections,24
34,6000028898,2024-07-31,Inbound,Service - General,9357.0,Escalated to Complaint,Customer Service,19
35,6000048240,2024-07-31,Inbound,Payment / Direct Debit,4473.0,Escalated to Complaint,Collections,10
36,6000010677,2024-07-31,Inbound,Payment / Direct Debit,215.0,Escalated to Complaint,Collections,20
37,6000014343,2024-07-31,Inbound,Service - General,37523.0,Escalated to Complaint,Customer Service,24
38,6000028207,2024-07-31,Inbound,Service - General,35604.0,Escalated to Complaint,Customer Service,4
39,6000039444,2024-07-31,Inbound,Service - General,47584.0,Escalated to Complaint,Customer Service,14
40,6000014852,2024-07-31,Inbound,Service - General,24086.0,Escalated to Complaint,Customer Service,6
41,6000016083,2024-07-31,Inbound,Service - General,33830.0,Escalated to Complaint,Customer Service,21
42,6000018769,2024-07-31,Inbound,Service - General,9672.0,Escalated to Complaint,Customer Service,16
43,6000023889,2024-07-31,Inbound,Service - General,9674.0,Escalated to Complaint,Customer Service,21
44,6000038741,2024-07-31,Inbound,Service - General,19455.0,Escalated to Complaint,Customer Service,10
45,6000036622,2024-07-31,Inbound,Service - General,2476.0,Escalated to Complaint,Customer Service,22
46,6000037238,2024-07-31,Inbound,Billing - Estimated Read,21832.0,Escalated to Complaint,Billing,9
47,6000005248,2024-07-31,Inbound,Service - General,3699.0,Escalated to Complaint,Customer Service,14
48,6000020760,2024-08-01,Inbound,Service - General,26736.0,Escalated to Complaint,Customer Service,21
49,6000033612,2024-08-01,Inbound,Service - General,3998.0,Escalated to Complaint,Customer Service,7
50,6000018524,2024-08-01,Inbound,Service - General,45069.0,Escalated to Complaint,Customer Service,3
51,6000019515,2024-08-01,Inbound,Service - General,45651.0,Escalated to Complaint,Customer Service,23
52,6000003706,2024-08-01,Inbound,Payment / Direct Debit,6613.0,Escalated to Complaint,Collections,16
53,6000028842,2024-08-01,Inbound,Service - General,13073.0,Escalated to Complaint,Customer Service,20
54,6000001571,2024-08-01,Inbound,Payment / Direct Debit,34716.0,Escalated to Complaint,Collections,6
55,6000035667,2024-08-01,Inbound,Payment / Direct Debit,2590.0,Escalated to Complaint,Collections,15
56,6000034948,2024-08-01,Inbound,Service - General,16263.0,Escalated to Complaint,Customer Service,6
57,6000032600,2024-08-01,Inbound,Service - General,,Resolved,Customer Service,14
58,6000037700,2024-08-01,Inbound,Payment / Direct Debit,37092.0,Escalated to Complaint,Collections,24
59,6000047277,2024-08-01,Inbound,Payment / Direct Debit,1881.0,Escalated to Complaint,Collections,14
60,6000044802,2024-08-01,Inbound,Payment / Direct Debit,41183.0,Escalated to Complaint,Collections,7
61,6000003130,2024-08-01,Inbound,Payment / Direct Debit,30259.0,Escalated to Complaint,Collections,19
62,6000018520,2024-08-01,Inbound,Billing - Estimated Read,25202.0,Escalated to Complaint,Billing,5
63,6000043595,2024-08-01,Inbound,Service - General,6411.0,Escalated to Complaint,Customer Service,12
64,6000026181,2024-08-01,Inbound,Service - General,23131.0,Escalated to Complaint,Customer Service,9
65,6000011845,2024-08-01,Inbound,Service - General,297.0,Escalated to Complaint,Customer Service,6
66,6000032584,2024-08-01,Inbound,Service - General,19348.0,Escalated to Complaint,Customer Service,5
67,6000044009,2024-08-01,Inbound,Service - General,26851.0,Escalated to Complaint,Customer Service,11
68,6000034995,2024-08-01,Inbound,Payment / Direct Debit,18738.0,Escalated to Complaint,Collections,12
69,6000028313,2024-08-01,Inbound,Payment / Direct Debit,38404.0,Escalated to Complaint,Collections,4
70,6000014568,2024-08-01,Inbound,Billing - Estimated Read,7133.0,Escalated to Complaint,Billing,3
71,6000019518,2024-08-01,Inbound,Service - General,20249.0,Escalated to Complaint,Customer Service,5
72,6000023271,2024-08-01,Inbound,Service - General,19386.0,Escalated to Complaint,Customer Service,9
73,6000013073,2024-08-01,Inbound,Billing - Estimated Read,31864.0,Escalated to Complaint,Billing,24
74,6000038873,2024-08-01,Inbound,Billing - Estimated Read,45324.0,Escalated to Complaint,Billing,5
75,6000042517,2024-08-01,Inbound,Service - General,20228.0,Escalated to Complaint,Customer Service,22
76,6000012639,2024-08-01,Inbound,Service - General,,Resolved,Customer Service,9
77,6000012005,2024-08-01,Inbound,Service - General,34038.0,Escalated to Complaint,Customer Service,18
78,6000009595,2024-08-01,Inbound,Payment / Direct Debit,3115.0,Escalated to Complaint,Collections,9
79,6000003894,2024-08-01,Inbound,Payment / Direct Debit,32911.0,Escalated to Complaint,Collections,6
80,6000018102,2024-08-01,Inbound,Service - General,47950.0,Escalated to Complaint,Customer Service,19
81,6000017742,2024-08-01,Inbound,Service - General,39905.0,Escalated to Complaint,Customer Service,2
82,6000027633,2024-08-01,Inbound,Service - General,,Information Provided,Customer Service,19
83,6000030004,2024-08-01,Inbound,Service - General,31390.0,Escalated to Complaint,Customer Service,22
84,6000045865,2024-08-01,Inbound,Service - General,,Resolved,Customer Service,5
85,6000018177,2024-08-01,Inbound,Service - General,36360.0,Escalated to Complaint,Customer Service,6
86,6000008863,2024-08-01,Inbound,Service - General,,Follow-up Required,Customer Service,20
87,6000027293,2024-08-01,Inbound,Billing - Estimated Read,44754.0,Escalated to Complaint,Billing,16
88,6000002148,2024-08-01,Inbound,Service - General,10788.0,Escalated to Complaint,Customer Service,24
89,6000045112,2024-08-01,Inbound,Billing - Estimated Read,38047.0,Escalated to Complaint,Billing,15
90,6000033847,2024-08-01,Inbound,Service - General,,Resolved,Customer Service,20
91,6000007973,2024-08-01,Inbound,Payment / Direct Debit,43762.0,Escalated to Complaint,Collections,12
92,6000047019,2024-08-01,Inbound,Service - General,,Follow-up Required,Customer Service,5
93,6000030193,2024-08-01,Inbound,Payment / Direct Debit,4592.0,Escalated to Complaint,Collections,21
94,6000019470,2024-08-01,Inbound,Service - General,40085.0,Escalated to Complaint,Customer Service,3
95,6000002391,2024-08-01,Inbound,Billing - Estimated Read,16742.0,Escalated to Complaint,Billing,2
96,6000049631,2024-08-01,Inbound,Service - General,24748.0,Escalated to Complaint,Customer Service,2
97,6000049486,2024-08-01,Inbound,Service - General,,Resolved,Customer Service,15
98,6000035728,2024-08-01,Inbound,Service - General,22651.0,Escalated to Complaint,Customer Service,5
99,6000039514,2024-08-01,Inbound,Service - General,,Information Provided,Customer Service,13
100,6000034683,2024-08-01,Inbound,Service - General,10876.0,Escalated to Complaint,Customer Service,3
101,6000029727,2024-08-01,Inbound,Service - General,27278.0,Escalated to Complaint,Customer Service,20
102,6000035867,2024-08-01,Inbound,Service - General,23029.0,Escalated to Complaint,Customer Service,24
103,6000040474,2024-08-01,Inbound,Service - General,9992.0,Escalated to Complaint,Customer Service,14
104,6000004262,2024-08-01,Inbound,Service - General,21881.0,Escalated to Complaint,Customer Service,3
105,6000038389,2024-08-01,Inbound,Payment / Direct Debit,35689.0,Escalated to Complaint,Collections,17
106,6000030493,2024-08-01,Inbound,Service - General,3554.0,Escalated to Complaint,Customer Service,24
107,6000049916,2024-08-01,Inbound,Service - General,36176.0,Escalated to Complaint,Customer Service,16
108,6000022620,2024-08-01,Inbound,Service - General,2478.0,Escalated to Complaint,Customer Service,21
109,6000044557,2024-08-01,Inbound,Service - General,,Follow-up Required,Customer Service,2
110,6000009570,2024-08-01,Inbound,Payment / Direct Debit,3517.0,Escalated to Complaint,Collections,21
111,6000042037,2024-08-01,Inbound,Service - General,,Resolved,Customer Service,23
112,6000009923,2024-08-01,Inbound,Service - General,10360.0,Escalated to Complaint,Customer Service,12
113,6000048468,2024-08-01,Inbound,Service - General,9871.0,Escalated to Complaint,Customer Service,4
114,6000002720,2024-08-01,Inbound,Service - General,,Information Provided,Customer Service,2
115,6000039764,2024-08-01,Inbound,Service - General,18897.0,Escalated to Complaint,Customer Service,14
116,6000016219,2024-08-02,Inbound,Service - General,24141.0,Escalated to Complaint,Customer Service,20
117,6000049647,2024-08-02,Inbound,Service - General,,Information Provided,Customer Service,21
118,6000025639,2024-08-02,Inbound,Service - General,42332.0,Escalated to Complaint,Customer Service,12
119,6000031424,2024-08-02,Inbound,Service - General,41258.0,Escalated to Complaint,Customer Service,7
120,6000001357,2024-08-02,Inbound,Payment / Direct Debit,10115.0,Escalated to Complaint,Collections,24
121,6000014130,2024-08-02,Inbound,Service - General,,Information Provided,Customer Service,6
122,6000036898,2024-08-02,Inbound,Service - General,41226.0,Escalated to Complaint,Customer Service,12
123,6000021810,2024-08-02,Inbound,Service - General,44411.0,Escalated to Complaint,Customer Service,11
124,6000012690,2024-08-02,Inbound,Payment / Direct Debit,1863.0,Escalated to Complaint,Collections,12
125,6000046621,2024-08-02,Inbound,Service - General,,Resolved,Customer Service,11
126,6000002071,2024-08-02,Inbound,Payment / Direct Debit,19748.0,Escalated to Complaint,Collections,7
127,6000046731,2024-08-02,Inbound,Payment / Direct Debit,45967.0,Escalated to Complaint,Collections,15
128,6000010424,2024-08-02,Inbound,Payment / Direct Debit,30758.0,Escalated to Complaint,Collections,7
129,6000029167,2024-08-02,Inbound,Billing - Estimated Read,14379.0,Escalated to Complaint,Billing,10
130,6000023776,2024-08-02,Inbound,Service - General,19313.0,Escalated to Complaint,Customer Service,2
131,6000030878,2024-08-02,Inbound,Service - General,43747.0,Escalated to Complaint,Customer Service,20
132,6000031899,2024-08-02,Inbound,Service - General,22685.0,Escalated to Complaint,Customer Service,14
133,6000041381,2024-08-02,Inbound,Billing - Estimated Read,13060.0,Escalated to Complaint,Billing,15
134,6000019035,2024-08-02,Inbound,Payment / Direct Debit,42077.0,Escalated to Complaint,Collections,11
135,6000009475,2024-08-02,Inbound,Billing - Estimated Read,15608.0,Escalated to Complaint,Billing,12
136,6000033884,2024-08-02,Inbound,Service - General,7743.0,Escalated to Complaint,Customer Service,2
137,6000014367,2024-08-02,Inbound,Service - General,,Follow-up Required,Customer Service,12
138,6000001923,2024-08-02,Inbound,Service - General,,Resolved,Customer Service,13
139,6000016538,2024-08-02,Inbound,Service - General,,Information Provided,Customer Service,7
140,6000000459,2024-08-02,Inbound,Payment / Direct Debit,40203.0,Escalated to Complaint,Collections,2
141,6000008579,2024-08-02,Inbound,Service - General,31478.0,Escalated to Complaint,Customer Service,19
142,6000014945,2024-08-02,Inbound,Billing - Estimated Read,37661.0,Escalated to Complaint,Billing,4
143,6000040680,2024-08-02,Inbound,Service - General,20183.0,Escalated to Complaint,Customer Service,3
144,6000044477,2024-08-02,Inbound,Service - General,,Resolved,Customer Service,18
145,6000032571,2024-08-02,Inbound,Service - General,855.0,Escalated to Complaint,Customer Service,18
146,6000002536,2024-08-02,Inbound,Payment / Direct Debit,32660.0,Escalated to Complaint,Collections,10
147,6000001297,2024-08-02,Inbound,Payment / Direct Debit,2578.0,Escalated to Complaint,Collections,17
148,6000045079,2024-08-02,Inbound,Billing - Estimated Read,38080.0,Escalated to Complaint,Billing,20
149,6000024780,2024-08-02,Inbound,Service - General,16334.0,Escalated to Complaint,Customer Service,6
150,6000032826,2024-08-02,Inbound,Billing - Estimated Read,9813.0,Escalated to Complaint,Billing,7
151,6000007793,2024-08-02,Inbound,Service - General,,Information Provided,Customer Service,16
152,6000039869,2024-08-02,Inbound,Billing - Estimated Read,48697.0,Escalated to Complaint,Billing,5
153,6000022287,2024-08-02,Inbound,Service - General,32903.0,Escalated to Complaint,Customer Service,23
154,6000021020,2024-08-02,Inbound,Payment / Direct Debit,32099.0,Escalated to Complaint,Collections,15
155,6000012786,2024-08-02,Inbound,Billing - Estimated Read,30010.0,Escalated to Complaint,Billing,12
156,6000010943,2024-08-02,Inbound,Service - General,17843.0,Escalated to Complaint,Customer Service,14
157,6000038884,2024-08-02,Inbound,Billing - Estimated Read,26602.0,Escalated to Complaint,Billing,2
158,6000041250,2024-08-02,Inbound,Service - General,36986.0,Escalated to Complaint,Customer Service,20
159,6000044420,2024-08-02,Inbound,Service - General,27677.0,Escalated to Complaint,Customer Service,21
160,6000002826,2024-08-02,Inbound,Service - General,42494.0,Escalated to Complaint,Customer Service,9
161,6000018922,2024-08-02,Inbound,Service - General,32532.0,Escalated to Complaint,Customer Service,22
162,6000011071,2024-08-02,Inbound,Service - General,,Information Provided,Customer Service,15
163,6000025271,2024-08-02,Inbound,Service - General,25140.0,Escalated to Complaint,Customer Service,6
164,6000029092,2024-08-02,Inbound,Service - General,,Resolved,Customer Service,19
165,6000030729,2024-08-02,Inbound,Service - General,40981.0,Escalated to Complaint,Customer Service,10
166,6000046895,2024-08-02,Inbound,Service - General,16682.0,Escalated to Complaint,Customer Service,14
167,6000016126,2024-08-02,Inbound,Service - General,6716.0,Escalated to Complaint,Customer Service,24
168,6000009423,2024-08-02,Inbound,Service - General,,Resolved,Customer Service,7
169,6000038996,2024-08-02,Inbound,Service - General,,Information Provided,Customer Service,22
170,6000043428,2024-08-02,Inbound,Service - General,9501.0,Escalated to Complaint,Customer Service,24
171,6000007428,2024-08-02,Inbound,Billing - Estimated Read,4729.0,Escalated to Complaint,Billing,13
172,6000048937,2024-08-02,Inbound,Service - General,,Follow-up Required,Customer Service,9
173,6000015510,2024-08-02,Inbound,Service - General,11436.0,Escalated to Complaint,Customer Service,2
174,6000012559,2024-08-02,Inbound,Service - General,,Follow-up Required,Customer Service,20
175,6000006987,2024-08-02,Inbound,Billing - Estimated Read,8137.0,Escalated to Complaint,Billing,11
176,6000030622,2024-08-02,Inbound,Billing - Estimated Read,31775.0,Escalated to Complaint,Billing,6
177,6000003717,2024-08-02,Inbound,Service - General,,Follow-up Required,Customer Service,22
178,6000007841,2024-08-02,Inbound,Billing - Estimated Read,11371.0,Escalated to Complaint,Billing,7
179,6000027982,2024-08-02,Inbound,Service - General,38795.0,Escalated to Complaint,Customer Service,20
180,6000048456,2024-08-02,Inbound,Billing - Estimated Read,4360.0,Escalated to Complaint,Billing,10
181,6000039027,2024-08-02,Inbound,Service - General,40789.0,Escalated to Complaint,Customer Service,15
182,6000003171,2024-08-03,Inbound,Service - General,18852.0,Escalated to Complaint,Customer Service,17
183,6000006842,2024-08-03,Inbound,Service - General,39322.0,Escalated to Complaint,Customer Service,16
184,6000015595,2024-08-03,Inbound,Payment / Direct Debit,47311.0,Escalated to Complaint,Collections,8
185,6000033361,2024-08-03,Inbound,Service - General,,Resolved,Customer Service,14
186,6000033843,2024-08-03,Inbound,Payment / Direct Debit,35235.0,Escalated to Complaint,Collections,20
187,6000014648,2024-08-03,Inbound,Service - General,,Follow-up Required,Customer Service,3
188,6000027739,2024-08-03,Inbound,Service - General,,Information Provided,Customer Service,21
189,6000026614,2024-08-03,Inbound,Service - General,10633.0,Escalated to Complaint,Customer Service,5
190,6000005630,2024-08-03,Inbound,Payment / Direct Debit,39324.0,Escalated to Complaint,Collections,9
191,6000049486,2024-08-03,Inbound,Service - General,,Resolved,Customer Service,16
192,6000005074,2024-08-03,Inbound,Service - General,47760.0,Escalated to Complaint,Customer Service,7
193,6000002709,2024-08-03,Inbound,Service - General,31479.0,Escalated to Complaint,Customer Service,19
194,6000015445,2024-08-03,Inbound,Service - General,,Information Provided,Customer Service,24
195,6000035918,2024-08-03,Inbound,Payment / Direct Debit,5234.0,Escalated to Complaint,Collections,13
196,6000038514,2024-08-03,Inbound,Service - General,45286.0,Escalated to Complaint,Customer Service,6
197,6000024393,2024-08-03,Inbound,Service - General,31911.0,Escalated to Complaint,Customer Service,11
198,6000042106,2024-08-03,Inbound,Service - General,,Follow-up Required,Customer Service,5
199,6000012127,2024-08-03,Inbound,Service - General,24797.0,Escalated to Complaint,Customer Service,3
200,6000002403,2024-08-03,Inbound,Service - General,2112.0,Escalated to Complaint,Customer Service,9
201,6000016048,2024-08-03,Inbound,Billing - Estimated Read,3000.0,Escalated to Complaint,Billing,18
202,6000041905,2024-08-03,Inbound,Billing - Estimated Read,32994.0,Escalated to Complaint,Billing,16
203,6000010466,2024-08-03,Inbound,Service - General,,Resolved,Customer Service,9
204,6000027251,2024-08-03,Inbound,Service - General,,Resolved,Customer Service,16
205,6000044597,2024-08-03,Inbound,Service - General,16442.0,Escalated to Complaint,Customer Service,5
206,6000036998,2024-08-03,Inbound,Billing - Estimated Read,17662.0,Escalated to Complaint,Billing,10
207,6000017645,2024-08-03,Inbound,Service - General,,Resolved,Customer Service,10
208,6000003358,2024-08-03,Inbound,Service - General,13927.0,Escalated to Complaint,Customer Service,11
209,6000032495,2024-08-03,Inbound,Service - General,4481.0,Escalated to Complaint,Customer Service,16
210,6000021147,2024-08-03,Inbound,Service - General,32391.0,Escalated to Complaint,Customer Service,10
211,6000028537,2024-08-03,Inbound,Billing - Estimated Read,36833.0,Escalated to Complaint,Billing,7
212,6000018044,2024-08-03,Inbound,Payment / Direct Debit,46537.0,Escalated to Complaint,Collections,8
213,6000032309,2024-08-03,Inbound,Billing - Estimated Read,47921.0,Escalated to Complaint,Billing,14
214,6000041559,2024-08-03,Inbound,Payment / Direct Debit,10282.0,Escalated to Complaint,Collections,5
215,6000045864,2024-08-03,Inbound,Service - General,23420.0,Escalated to Complaint,Customer Service,15
216,6000030620,2024-08-03,Inbound,Service - General,7469.0,Escalated to Complaint,Customer Service,10
217,6000029605,2024-08-03,Inbound,Service - General,27754.0,Escalated to Complaint,Customer Service,7
218,6000015961,2024-08-03,Inbound,Payment / Direct Debit,39930.0,Escalated to Complaint,Collections,12
219,6000038970,2024-08-03,Inbound,Service - General,,Follow-up Required,Customer Service,12
220,6000041484,2024-08-03,Inbound,Billing - Estimated Read,1580.0,Escalated to Complaint,Billing,3
221,6000033072,2024-08-03,Inbound,Payment / Direct Debit,10809.0,Escalated to Complaint,Collections,8
222,6000031301,2024-08-03,Inbound,Service - General,27598.0,Escalated to Complaint,Customer Service,23
223,6000006306,2024-08-03,Inbound,Payment / Direct Debit,40770.0,Escalated to Complaint,Collections,21
224,6000027953,2024-08-03,Inbound,Service - General,34677.0,Escalated to Complaint,Customer Service,16
225,6000035061,2024-08-03,Inbound,Service - General,,Resolved,Customer Service,18
226,6000009189,2024-08-03,Inbound,Billing - Estimated Read,35622.0,Escalated to Complaint,Billing,22
227,6000039637,2024-08-03,Inbound,Service - General,13291.0,Escalated to Complaint,Customer Service,19
228,6000012987,2024-08-03,Inbound,Service - General,13048.0,Escalated to Complaint,Customer Service,24
229,6000020415,2024-08-03,Inbound,Service - General,45796.0,Escalated to Complaint,Customer Service,13
230,6000036407,2024-08-03,Inbound,Billing - Estimated Read,11931.0,Escalated to Complaint,Billing,5
231,6000006015,2024-08-03,Inbound,Service - General,20042.0,Escalated to Complaint,Customer Service,11
232,6000043300,2024-08-03,Inbound,Service - General,7748.0,Escalated to Complaint,Customer Service,21
233,6000027833,2024-08-03,Inbound,Service - General,,Resolved,Customer Service,14
234,6000015832,2024-08-03,Inbound,Service - General,23421.0,Escalated to Complaint,Customer Service,7
235,6000034101,2024-08-03,Inbound,Service - General,,Follow-up Required,Customer Service,19
236,6000017116,2024-08-03,Inbound,Billing - Estimated Read,31009.0,Escalated to Complaint,Billing,15
237,6000044602,2024-08-03,Inbound,Billing - Estimated Read,12325.0,Escalated to Complaint,Billing,4
238,6000005127,2024-08-03,Inbound,Service - General,,Resolved,Customer Service,5
239,6000023609,2024-08-03,Inbound,Service - General,,Follow-up Required,Customer Service,16
240,6000044408,2024-08-03,Inbound,Service - General,47700.0,Escalated to Complaint,Customer Service,4
241,6000015063,2024-08-03,Inbound,Service - General,14512.0,Escalated to Complaint,Customer Service,19
242,6000044098,2024-08-03,Inbound,Service - General,42388.0,Escalated to Complaint,Customer Service,21
243,6000008528,2024-08-03,Inbound,Service - General,,Follow-up Required,Customer Service,21
244,6000011544,2024-08-03,Inbound,Service - General,47543.0,Escalated to Complaint,Customer Service,3
245,6000010684,2024-08-03,Inbound,Service - General,,Follow-up Required,Customer Service,9
246,6000021184,2024-08-03,Inbound,Service - General,31779.0,Escalated to Complaint,Customer Service,11
247,6000041049,2024-08-03,Inbound,Service - General,,Information Provided,Customer Service,9
248,6000004882,2024-08-03,Inbound,Service - General,10150.0,Escalated to Complaint,Customer Service,3
249,6000038324,2024-08-03,Inbound,Billing - Estimated Read,8582.0,Escalated to Complaint,Billing,3
250,6000005267,2024-08-03,Inbound,Service - General,11465.0,Escalated to Complaint,Customer Service,17
251,6000042748,2024-08-03,Inbound,Service - General,,Information Provided,Customer Service,6
252,6000049516,2024-08-03,Inbound,Service - General,36471.0,Escalated to Complaint,Customer Service,6
253,6000041726,2024-08-04,Inbound,Service - General,34715.0,Escalated to Complaint,Customer Service,11
254,6000039456,2024-08-04,Inbound,Service - General,47192.0,Escalated to Complaint,Customer Service,17
255,6000010122,2024-08-04,Inbound,Billing - Estimated Read,16207.0,Escalated to Complaint,Billing,24
256,6000003136,2024-08-04,Inbound,Billing - Estimated Read,29812.0,Escalated to Complaint,Billing,19
257,6000004257,2024-08-04,Inbound,Service - General,17357.0,Escalated to Complaint,Customer Service,16
258,6000032493,2024-08-04,Inbound,Service - General,,Follow-up Required,Customer Service,10
259,6000047910,2024-08-04,Inbound,Service - General,,Follow-up Required,Customer Service,16
260,6000013166,2024-08-04,Inbound,Billing - Estimated Read,17882.0,Escalated to Complaint,Billing,11
261,6000026443,2024-08-04,Inbound,Payment / Direct Debit,42730.0,Escalated to Complaint,Collections,8
262,6000014151,2024-08-04,Inbound,Service - General,,Information Provided,Customer Service,18
263,6000040305,2024-08-04,Inbound,Billing - Estimated Read,46613.0,Escalated to Complaint,Billing,19
264,6000049327,2024-08-04,Inbound,Payment / Direct Debit,8646.0,Escalated to Complaint,Collections,3
265,6000010387,2024-08-04,Inbound,Billing - Estimated Read,34692.0,Escalated to Complaint,Billing,4
266,6000006341,2024-08-04,Inbound,Service - General,24418.0,Escalated to Complaint,Customer Service,9
267,6000003716,2024-08-04,Inbound,Service - General,,Resolved,Customer Service,21
268,6000033879,2024-08-04,Inbound,Service - General,32379.0,Escalated to Complaint,Customer Service,20
269,6000014558,2024-08-04,Inbound,Service - General,36813.0,Escalated to Complaint,Customer Service,15
270,6000014992,2024-08-04,Inbound,Billing - Estimated Read,43462.0,Escalated to Complaint,Billing,18
271,6000018022,2024-08-04,Inbound,Service - General,34791.0,Escalated to Complaint,Customer Service,21
272,6000045802,2024-08-04,Inbound,Service - General,34108.0,Escalated to Complaint,Customer Service,14
273,6000021916,2024-08-04,Inbound,Billing - Estimated Read,20555.0,Escalated to Complaint,Billing,21
274,6000010348,2024-08-04,Inbound,Service - General,28652.0,Escalated to Complaint,Customer Service,17
275,6000004705,2024-08-04,Inbound,Service - General,18536.0,Escalated to Complaint,Customer Service,7
276,6000040298,2024-08-04,Inbound,Service - General,31177.0,Escalated to Complaint,Customer Service,11
277,6000021604,2024-08-04,Inbound,Billing - Estimated Read,16579.0,Escalated to Complaint,Billing,14
278,6000034593,2024-08-04,Inbound,Service - General,,Follow-up Required,Customer Service,5
279,6000032300,2024-08-04,Inbound,Billing - Estimated Read,46658.0,Escalated to Complaint,Billing,4
280,6000020476,2024-08-04,Inbound,Service - General,46240.0,Escalated to Complaint,Customer Service,7
281,6000016330,2024-08-04,Inbound,Billing - Estimated Read,32183.0,Escalated to Complaint,Billing,21
282,6000017666,2024-08-04,Inbound,Service - General,25960.0,Escalated to Complaint,Customer Service,7
283,6000017756,2024-08-04,Inbound,Service - General,,Resolved,Customer Service,12
284,6000024970,2024-08-04,Inbound,Service - General,43382.0,Escalated to Complaint,Customer Service,16
285,6000020148,2024-08-04,Inbound,Service - General,17390.0,Escalated to Complaint,Customer Service,21
286,6000035587,2024-08-04,Inbound,Payment / Direct Debit,13393.0,Escalated to Complaint,Collections,7
287,6000042374,2024-08-04,Inbound,Service - General,35360.0,Escalated to Complaint,Customer Service,8
288,6000032753,2024-08-04,Inbound,Service - General,8931.0,Escalated to Complaint,Customer Service,14
289,6000048398,2024-08-04,Inbound,Service - General,41197.0,Escalated to Complaint,Customer Service,2
290,6000043090,2024-08-04,Inbound,Service - General,,Follow-up Required,Customer Service,20
291,6000027105,2024-08-04,Inbound,Service - General,16721.0,Escalated to Complaint,Customer Service,15
292,6000023386,2024-08-04,Inbound,Payment / Direct Debit,18963.0,Escalated to Complaint,Collections,15
293,6000007622,2024-08-04,Inbound,Payment / Direct Debit,30511.0,Escalated to Complaint,Collections,15
294,6000032894,2024-08-04,Inbound,Service - General,40850.0,Escalated to Complaint,Customer Service,5
