CONTRACT_ID,ACCOUNT_NUMBER,MPXN,FUEL_TYPE,TARIFF_NAME,CONTRACT_TYPE,CONTRACT_START_DATE,CONTRACT_END_DATE,RENEWAL_NUMBER,DAYS_TO_EXPIRY_AT_ASOF,EXIT_FEE_APPLICABLE,ACQUISITION_CHANNEL,STATUS
6000014556-E-2,6000014556,8181941620312,Electricity,EcoVariable,Fixed 12M,2026-04-14,2027-04-09,2,247,False,Telesales,Ended
6000022821-E-1,6000022821,7968508101221,Electricity,EcoVariable,Standard Variable,2026-08-05,9999-12-31,1,99999,False,Price Comparison Site,Active
6000004010-E-1,6000004010,4601345394697,Electricity,FixSecure 24,Standard Variable,2026-08-05,9999-12-31,1,99999,False,Broker,Active
6000017047-E-3,6000017047,4798405806496,Electricity,PriceCapTracker,Fixed 12M,2025-09-04,2026-08-30,3,25,False,Price Comparison Site,Active
6000000948-E-3,6000000948,6138526941828,Electricity,PriceCapTracker,Fixed 12M,2026-08-05,2027-07-31,3,360,True,Price Comparison Site,Ended
6000022515-E-4,6000022515,8603731985555,Electricity,StandardVariable,Fixed 12M,2026-05-25,2027-05-20,4,288,True,Renewal Auto,Active
6000024912-E-1,6000024912,8304027319346,Electricity,DualSaver 18,Fixed 12M,2025-10-13,2026-10-08,1,64,False,Broker,Active
6000024872-E-1,6000024872,6188539007643,Electricity,StandardVariable,Standard Variable,2026-08-05,9999-12-31,1,99999,False,Renewal Auto,Ended
6000024527-E-2,6000024527,1489106264726,Electricity,StandardVariable,Fixed 24M,2025-01-26,2027-01-16,2,164,False,Price Comparison Site,Ended
6000003976-E-2,6000003976,7343885603713,Electricity,PriceCapTracker,Fixed 24M,2026-01-23,2028-01-13,2,526,True,Renewal Auto,Ended
6000024895-E-1,6000024895,8913606376734,Electricity,FixSecure 24,Fixed 24M,2025-01-15,2027-01-05,1,153,False,Renewal Auto,Active
6000020442-E-1,6000020442,2642570518829,Electricity,EcoVariable,Fixed 24M,2025-09-10,2027-08-31,1,391,True,Web,Ended
6000008746-E-4,6000008746,2956348190185,Electricity,EcoVariable,Fixed 12M,2026-01-19,2027-01-14,4,162,False,Telesales,Ended
6000013082-E-2,6000013082,6450169118425,Electricity,FixSecure 12,Fixed 12M,2026-03-07,2027-03-02,2,209,True,Price Comparison Site,Active
6000006540-E-1,6000006540,4335973781058,Electricity,FixSecure 12,Standard Variable,2026-08-05,9999-12-31,1,99999,False,In-Store,Active
6000011729-E-2,6000011729,6531851859312,Electricity,PriceCapTracker,Fixed 12M,2026-03-04,2027-02-27,2,206,False,Price Comparison Site,Active
6000024037-E-1,6000024037,9245069467826,Electricity,EcoVariable,Fixed 24M,2025-06-01,2027-05-22,1,290,False,Web,Active
6000007425-E-1,6000007425,7992806798430,Electricity,StandardVariable,Standard Variable,2026-08-05,9999-12-31,1,99999,False,Price Comparison Site,Active
6000018339-E-2,6000018339,3195586453503,Electricity,FixSecure 24,Fixed 24M,2024-10-07,2026-09-27,2,53,False,Web,Active
6000003119-E-1,6000003119,3692196448278,Electricity,DualSaver 18,Fixed 24M,2026-04-19,2028-04-08,1,612,False,Web,Ended
6000005922-E-3,6000005922,6408770346223,Electricity,PriceCapTracker,Fixed 12M,2026-06-02,2027-05-28,3,296,False,Telesales,Active
6000003224-E-4,6000003224,1093601842492,Electricity,EcoVariable,Fixed 12M,2025-11-13,2026-11-08,4,95,True,Web,Active
6000017137-E-1,6000017137,1568182094433,Electricity,GreenFix 12,Standard Variable,2026-08-05,9999-12-31,1,99999,False,Web,Ended
6000010356-E-1,6000010356,2224905970091,Electricity,EcoVariable,Standard Variable,2026-08-05,9999-12-31,1,99999,False,Web,Active
6000008875-E-2,6000008875,5511839171148,Electricity,DualSaver 18,Fixed 12M,2025-09-06,2026-09-01,2,27,True,Renewal Auto,Active
6000014172-E-1,6000014172,5995249933711,Electricity,FixSecure 24,Fixed 12M,2025-09-10,2026-09-05,1,31,False,Price Comparison Site,Ended
6000001931-E-1,6000001931,3914755367559,Electricity,FixSecure 24,Fixed 12M,2025-09-06,2026-09-01,1,27,True,Web,Ended
6000004495-E-1,6000004495,4942052502160,Electricity,GreenFix 12,Fixed 24M,2025-11-21,2027-11-11,1,463,True,Price Comparison Site,Ended
6000012303-E-4,6000012303,1203818713173,Electricity,PriceCapTracker,Fixed 12M,2026-07-15,2027-07-10,4,339,True,Web,Active
6000023355-E-1,6000023355,5719916715415,Electricity,FixSecure 24,Fixed 12M,2026-06-17,2027-06-12,1,311,True,Price Comparison Site,Active
6000014975-E-1,6000014975,3282979050938,Electricity,StandardVariable,Standard Variable,2026-08-05,9999-12-31,1,99999,False,In-Store,Active
6000013713-E-1,6000013713,4938506440628,Electricity,StandardVariable,Standard Variable,2026-08-05,9999-12-31,1,99999,False,Web,Ended
6000001058-E-4,6000001058,5867116556023,Electricity,DualSaver 18,Fixed 12M,2026-08-05,2027-07-31,4,360,True,Price Comparison Site,Active
6000020909-E-4,6000020909,1661862080451,Electricity,DualSaver 18,Fixed 12M,2026-03-04,2027-02-27,4,206,True,Price Comparison Site,Active
6000019640-E-2,6000019640,1395967622690,Electricity,EcoVariable,Fixed 12M,2026-02-22,2027-02-17,2,196,True,Web,Ended
6000008379-E-2,6000008379,6354974923370,Electricity,DualSaver 18,Fixed 24M,2024-09-06,2026-08-27,2,22,True,Telesales,Active
6000011180-E-2,6000011180,3183346738788,Electricity,FixSecure 12,Fixed 12M,2025-10-14,2026-10-09,2,65,False,Web,Ended
6000021386-E-1,6000021386,2411464312628,Electricity,PriceCapTracker,Fixed 12M,2026-03-23,2027-03-18,1,225,True,Broker,Active
6000012344-E-1,6000012344,5208755434663,Electricity,GreenFix 12,Fixed 24M,2026-01-13,2028-01-03,1,516,True,Renewal Auto,Active
6000016793-E-2,6000016793,7479728118775,Electricity,EcoVariable,Fixed 12M,2025-08-17,2026-08-12,2,7,True,Web,Active
6000002224-E-2,6000002224,5073280062026,Electricity,PriceCapTracker,Fixed 24M,2025-03-04,2027-02-22,2,201,False,Price Comparison Site,Ended
6000018493-E-2,6000018493,1235551512125,Electricity,StandardVariable,Fixed 24M,2026-01-14,2028-01-04,2,517,False,Telesales,Active
6000024934-E-3,6000024934,2425035010705,Electricity,GreenFix 12,Fixed 24M,2026-07-25,2028-07-14,3,709,True,Renewal Auto,Active
6000019071-E-1,6000019071,1950654159471,Electricity,StandardVariable,Fixed 12M,2025-12-12,2026-12-07,1,124,True,Web,Active
6000008845-E-2,6000008845,7358779742719,Electricity,FixSecure 12,Fixed 12M,2025-09-06,2026-09-01,2,27,True,In-Store,Ended
6000002994-E-1,6000002994,3232801422975,Electricity,StandardVariable,Standard Variable,2026-08-05,9999-12-31,1,99999,False,Renewal Auto,Active
6000003218-E-1,6000003218,2865341351432,Electricity,StandardVariable,Standard Variable,2026-08-05,9999-12-31,1,99999,False,Web,Active
6000010111-E-2,6000010111,8857904589061,Electricity,GreenFix 12,Fixed 12M,2025-10-02,2026-09-27,2,53,True,Renewal Auto,Active
6000016613-E-1,6000016613,6745695102940,Electricity,FixSecure 12,Fixed 24M,2026-03-10,2028-02-28,1,572,False,Web,Ended
6000016724-E-1,6000016724,6245596307039,Electricity,FixSecure 12,Standard Variable,2026-08-05,9999-12-31,1,99999,False,In-Store,Active
6000005687-E-4,6000005687,2534953782028,Electricity,GreenFix 12,Fixed 12M,2025-12-12,2026-12-07,4,124,False,Price Comparison Site,Active
6000021198-E-3,6000021198,3777318577984,Electricity,StandardVariable,Fixed 12M,2026-06-23,2027-06-18,3,317,True,Broker,Ended
6000002163-E-1,6000002163,9910357450592,Electricity,EcoVariable,Fixed 24M,2025-04-14,2027-04-04,1,242,True,In-Store,Active
6000010385-E-2,6000010385,2722488106458,Electricity,EcoVariable,Fixed 12M,2025-12-10,2026-12-05,2,122,True,Web,Active
6000009503-E-2,6000009503,9714156090791,Electricity,EcoVariable,Fixed 12M,2026-04-27,2027-04-22,2,260,True,Price Comparison Site,Active
6000008251-E-1,6000008251,4174734111885,Electricity,PriceCapTracker,Fixed 24M,2025-03-04,2027-02-22,1,201,True,Renewal Auto,Ended
6000023936-E-1,6000023936,5940074560513,Electricity,GreenFix 12,Standard Variable,2026-08-05,9999-12-31,1,99999,False,Price Comparison Site,Active
6000003636-E-3,6000003636,9315055798818,Electricity,EcoVariable,Fixed 12M,2026-05-12,2027-05-07,3,275,False,Broker,Ended
6000023681-E-3,6000023681,7338363864431,Electricity,PriceCapTracker,Fixed 12M,2025-11-26,2026-11-21,3,108,False,Web,Active
6000002001-E-3,6000002001,1216380890150,Electricity,EcoVariable,Fixed 12M,2026-03-11,2027-03-06,3,213,False,Web,Active
6000014618-E-2,6000014618,8833351932485,Electricity,GreenFix 12,Fixed 24M,2026-06-22,2028-06-11,2,676,False,Price Comparison Site,Active
6000008993-E-2,6000008993,5442381209768,Electricity,PriceCapTracker,Fixed 24M,2026-07-01,2028-06-20,2,685,True,Renewal Auto,Ended
6000015496-E-1,6000015496,3210903740870,Electricity,StandardVariable,Fixed 12M,2026-03-03,2027-02-26,1,205,True,Web,Active
6000008786-E-1,6000008786,7902042468705,Electricity,FixSecure 24,Standard Variable,2026-08-05,9999-12-31,1,99999,False,Broker,Active
6000010485-E-1,6000010485,5820121668583,Electricity,FixSecure 24,Fixed 24M,2025-12-13,2027-12-03,1,485,False,Web,Active
6000021152-E-4,6000021152,6856747386509,Electricity,EcoVariable,Fixed 12M,2025-10-29,2026-10-24,4,80,False,Broker,Active
6000020754-E-1,6000020754,9900317910123,Electricity,DualSaver 18,Standard Variable,2026-08-05,9999-12-31,1,99999,False,Renewal Auto,Active
6000019218-E-1,6000019218,3655515254812,Electricity,FixSecure 24,Fixed 12M,2026-08-03,2027-07-29,1,358,True,Renewal Auto,Ended
6000003028-E-2,6000003028,4843717416168,Electricity,EcoVariable,Fixed 12M,2026-04-18,2027-04-13,2,251,True,Web,Active
6000020316-E-1,6000020316,9625499130176,Electricity,EcoVariable,Fixed 12M,2025-12-30,2026-12-25,1,142,False,Web,Ended
6000002745-E-4,6000002745,6801456109494,Electricity,DualSaver 18,Fixed 12M,2025-08-30,2026-08-25,4,20,True,Renewal Auto,Active
6000013572-E-3,6000013572,9914047886625,Electricity,DualSaver 18,Fixed 12M,2025-08-27,2026-08-22,3,17,True,Price Comparison Site,Ended
6000011498-E-1,6000011498,1667460532034,Electricity,PriceCapTracker,Standard Variable,2026-08-05,9999-12-31,1,99999,False,Web,Active
6000017111-E-4,6000017111,5645193107765,Electricity,GreenFix 12,Fixed 12M,2026-06-24,2027-06-19,4,318,False,Broker,Ended
6000011210-E-2,6000011210,9502935569070,Electricity,GreenFix 12,Fixed 12M,2025-12-01,2026-11-26,2,113,True,Web,Ended
6000001209-E-1,6000001209,8986732509361,Electricity,StandardVariable,Fixed 12M,2026-01-02,2026-12-28,1,145,True,Web,Active
6000013721-E-1,6000013721,6247075338848,Electricity,GreenFix 12,Standard Variable,2026-08-05,9999-12-31,1,99999,False,Web,Ended
6000023752-E-2,6000023752,8756040301308,Electricity,FixSecure 12,Fixed 24M,2024-10-18,2026-10-08,2,64,False,Web,Active
6000021937-E-1,6000021937,3328401730692,Electricity,FixSecure 12,Standard Variable,2026-08-05,9999-12-31,1,99999,False,Renewal Auto,Active
6000012595-E-3,6000012595,6113200559307,Electricity,StandardVariable,Fixed 12M,2026-01-25,2027-01-20,3,168,True,Price Comparison Site,Active
6000004801-E-1,6000004801,5126861008356,Electricity,DualSaver 18,Standard Variable,2026-08-05,9999-12-31,1,99999,False,Web,Ended
6000009265-E-2,6000009265,9516225469299,Electricity,FixSecure 12,Fixed 12M,2025-12-22,2026-12-17,2,134,True,Broker,Active
6000024804-E-4,6000024804,2407056268719,Electricity,PriceCapTracker,Fixed 12M,2026-02-03,2027-01-29,4,177,True,In-Store,Active
6000022921-E-2,6000022921,6969613491225,Electricity,StandardVariable,Fixed 12M,2025-11-19,2026-11-14,2,101,True,Price Comparison Site,Active
6000012871-E-1,6000012871,5133034895634,Electricity,FixSecure 12,Standard Variable,2026-08-05,9999-12-31,1,99999,False,Telesales,Active
6000011939-E-2,6000011939,6890812230319,Electricity,StandardVariable,Fixed 24M,2026-07-31,2028-07-20,2,715,False,Web,Active
6000017858-E-1,6000017858,7429669988726,Electricity,StandardVariable,Fixed 12M,2026-01-17,2027-01-12,1,160,True,Web,Active
6000021115-E-1,6000021115,2803624432780,Electricity,EcoVariable,Fixed 12M,2025-11-30,2026-11-25,1,112,True,Broker,Active
6000024291-E-3,6000024291,9324283290007,Electricity,DualSaver 18,Fixed 12M,2026-06-11,2027-06-06,3,305,True,Web,Active
6000007365-E-1,6000007365,5806465605361,Electricity,PriceCapTracker,Fixed 12M,2026-08-04,2027-07-30,1,359,True,Price Comparison Site,Ended
6000015378-E-1,6000015378,9994057755559,Electricity,DualSaver 18,Fixed 12M,2025-12-08,2026-12-03,1,120,True,Broker,Active
6000018128-E-3,6000018128,9864456476904,Electricity,DualSaver 18,Fixed 24M,2026-07-13,2028-07-02,3,697,True,Price Comparison Site,Active
6000005832-E-2,6000005832,4251347282029,Electricity,DualSaver 18,Fixed 12M,2025-10-01,2026-09-26,2,52,True,Web,Ended
6000014233-E-2,6000014233,6817294008648,Electricity,FixSecure 24,Fixed 12M,2025-11-20,2026-11-15,2,102,True,In-Store,Active
6000016976-E-1,6000016976,3182633096274,Electricity,EcoVariable,Fixed 24M,2024-11-13,2026-11-03,1,90,True,Web,Ended
6000009234-E-3,6000009234,3398103843974,Electricity,StandardVariable,Fixed 12M,2025-11-21,2026-11-16,3,103,True,Telesales,Active
6000024225-E-1,6000024225,6425473065984,Electricity,FixSecure 24,Fixed 12M,2026-01-16,2027-01-11,1,159,False,Telesales,Active
6000022222-E-2,6000022222,8980526126844,Electricity,PriceCapTracker,Fixed 24M,2025-09-23,2027-09-13,2,404,False,Web,Ended
6000004482-E-1,6000004482,1234442088780,Electricity,FixSecure 24,Fixed 24M,2026-05-10,2028-04-29,1,633,True,Price Comparison Site,Active
6000010798-E-2,6000010798,8655299154155,Electricity,DualSaver 18,Fixed 24M,2024-11-13,2026-11-03,2,90,False,Price Comparison Site,Active
6000024197-E-1,6000024197,9370950619679,Electricity,GreenFix 12,Standard Variable,2026-08-05,9999-12-31,1,99999,False,In-Store,Active
6000011937-E-1,6000011937,2549869727490,Electricity,GreenFix 12,Fixed 12M,2025-09-09,2026-09-04,1,30,False,Telesales,Ended
6000019348-E-1,6000019348,2730438773016,Electricity,GreenFix 12,Standard Variable,2026-08-05,9999-12-31,1,99999,False,Web,Ended
6000022574-E-3,6000022574,6781814266601,Electricity,FixSecure 12,Fixed 12M,2025-11-10,2026-11-05,3,92,False,Web,Active
6000017799-E-1,6000017799,4576215264057,Electricity,FixSecure 24,Standard Variable,2026-08-05,9999-12-31,1,99999,False,Web,Active
6000001458-E-4,6000001458,6969197873607,Electricity,StandardVariable,Fixed 12M,2026-03-26,2027-03-21,4,228,True,Price Comparison Site,Ended
6000022941-E-1,6000022941,3867197952505,Electricity,PriceCapTracker,Fixed 12M,2026-02-17,2027-02-12,1,191,True,Web,Active
6000000636-E-2,6000000636,5342722264586,Electricity,GreenFix 12,Fixed 24M,2025-03-05,2027-02-23,2,202,True,Price Comparison Site,Active
6000021741-E-4,6000021741,3784765390279,Electricity,GreenFix 12,Fixed 12M,2026-01-04,2026-12-30,4,147,True,Price Comparison Site,Active
6000004120-E-1,6000004120,3145249241825,Electricity,GreenFix 12,Fixed 24M,2026-05-21,2028-05-10,1,644,False,Price Comparison Site,Ended
6000021087-E-3,6000021087,8048945236779,Electricity,StandardVariable,Fixed 24M,2026-08-05,2028-07-25,3,720,False,Broker,Ended
6000007308-E-3,6000007308,8386810398538,Electricity,GreenFix 12,Fixed 12M,2026-01-03,2026-12-29,3,146,True,Web,Ended
6000011934-E-1,6000011934,3580630493183,Electricity,StandardVariable,Fixed 12M,2025-11-09,2026-11-04,1,91,False,Broker,Ended
6000013657-E-3,6000013657,8077356542691,Electricity,EcoVariable,Fixed 12M,2025-09-17,2026-09-12,3,38,True,Web,Active
6000010977-E-1,6000010977,3000711460894,Electricity,PriceCapTracker,Fixed 12M,2026-01-14,2027-01-09,1,157,False,Price Comparison Site,Active
6000005635-E-2,6000005635,4719224564767,Electricity,GreenFix 12,Fixed 24M,2024-11-29,2026-11-19,2,106,False,Renewal Auto,Active
6000017078-E-4,6000017078,1542732553842,Electricity,EcoVariable,Fixed 12M,2026-05-30,2027-05-25,4,293,False,Renewal Auto,Active
6000002981-E-4,6000002981,1549801415088,Electricity,GreenFix 12,Fixed 12M,2026-03-21,2027-03-16,4,223,False,Renewal Auto,Active
6000023311-E-3,6000023311,8262037289050,Electricity,PriceCapTracker,Fixed 12M,2026-04-08,2027-04-03,3,241,False,Telesales,Active
6000006484-E-2,6000006484,8097677442840,Electricity,FixSecure 24,Fixed 12M,2026-01-12,2027-01-07,2,155,True,Web,Active
6000024566-E-2,6000024566,4664628781592,Electricity,DualSaver 18,Fixed 12M,2026-02-21,2027-02-16,2,195,True,Renewal Auto,Ended
6000009743-E-1,6000009743,5118545490821,Electricity,FixSecure 24,Fixed 24M,2024-11-07,2026-10-28,1,84,True,Price Comparison Site,Active
6000010694-E-2,6000010694,1731271054831,Electricity,FixSecure 24,Fixed 12M,2026-04-02,2027-03-28,2,235,True,Broker,Ended
6000009129-E-4,6000009129,1731180729269,Electricity,FixSecure 24,Fixed 12M,2026-07-01,2027-06-26,4,325,True,Price Comparison Site,Active
6000008170-E-2,6000008170,3478431580141,Electricity,PriceCapTracker,Fixed 12M,2025-08-18,2026-08-13,2,8,True,Web,Active
6000014822-E-5,6000014822,8215131272047,Electricity,GreenFix 12,Fixed 12M,2026-07-13,2027-07-08,5,337,True,In-Store,Active
6000005812-E-2,6000005812,1187387686020,Electricity,GreenFix 12,Fixed 24M,2025-01-25,2027-01-15,2,163,True,Broker,Active
6000007480-E-2,6000007480,5373080440569,Electricity,PriceCapTracker,Fixed 12M,2025-09-16,2026-09-11,2,37,True,Price Comparison Site,Ended
6000024562-E-1,6000024562,4788310307369,Electricity,StandardVariable,Fixed 24M,2024-12-16,2026-12-06,1,123,True,Web,Active
6000021798-E-4,6000021798,2910886610669,Electricity,EcoVariable,Fixed 12M,2026-04-02,2027-03-28,4,235,True,Telesales,Ended
6000010107-E-3,6000010107,4903284481495,Electricity,FixSecure 12,Fixed 12M,2025-10-08,2026-10-03,3,59,True,Web,Ended
6000000739-E-1,6000000739,2368025938656,Electricity,FixSecure 12,Standard Variable,2026-08-05,9999-12-31,1,99999,False,Price Comparison Site,Active
